Passenger_ID,Airline,Origin,Destination,Flight_Date,Age,Class,Travel_Type,Booking_Channel,Payment_Method,Flight_Duration_Min,Distance_KM,Flight_Status,Delay_Minutes,Baggage_Count,Meal_Ordered,Rating,Ticket_Fare,Satisfaction
PNR00030,Air India Express,Delhi,Mumbai,2025-01-14,52.0,Economy,Personal,Mobile App,Credit Card,92,1256,On Time,0.0,2,Yes,5.0,9474.15,Satisfied
PNR00031,Akasa Air,Delhi,Mumbai,2025-12-27,52.0,Economy,Personal,Website,Debit Card,140,389,On Time,0.0,2,Yes,5.0,13820.94,Satisfied
PNR00032,Vistara,Hyderabad,Mumbai,2025-12-29,53.0,Economy,Business,Travel Agent,Net Banking,80,1320,On Time,0.0,2,Yes,2.0,10625.53,Dissatisfied
PNR00033,Akasa Air,Delhi,Bangalore,2025-01-03,29.0,Premium Economy,Business,Airport Counter,Debit Card,72,578,On Time,0.0,0,Yes,3.0,6899.41,Neutral
PNR00034,Vistara,Delhi,Kolkata,2024-03-16,36.0,Business,Personal,Mobile App,Debit Card,68,754,On Time,0.0,0,Yes,4.0,23726.88,Satisfied
PNR00035,Vistara,Delhi,Bangalore,2025-07-18,53.0,Premium Economy,Business,Mobile App,UPI,210,1467,Cancelled,,1,Yes,5.0,16685.69,Satisfied
PNR00036,Indigo,Delhi,Kolkata,2025-05-06,27.0,Premium Economy,Business,Website,Credit Card,204,1576,Delayed,131.0,1,Yes,5.0,12095.89,Satisfied
PNR00037,Spicejet,Mumbai,Delhi,2025-05-14,39.0,Business,Personal,Mobile App,Net Banking,204,810,On Time,0.0,0,Yes,3.0,19050.36,Neutral
PNR00038,Vistara,Mumbai,Hyderabad,2024-06-21,20.0,Economy,Business,Website,Credit Card,200,1053,Delayed,176.0,0,No,4.0,33770.61,Satisfied
PNR00039,Air India Express,Mumbai,Delhi,2024-04-26,42.0,Economy,Personal,Website,Credit Card,193,357,On Time,0.0,0,No,5.0,10722.18,Satisfied
PNR00040,Vistara,Bangalore,Mumbai,2024-02-16,35.0,Economy,Personal,Mobile App,Net Banking,108,1466,Delayed,21.0,1,No,4.0,5969.57,Satisfied
PNR00041,Spicejet,Hyderabad,Mumbai,2025-11-06,45.0,Economy,Business,Mobile App,Net Banking,149,997,Cancelled,,1,Yes,1.0,12559.65,Dissatisfied
PNR00042,Air India Express,Mumbai,Bangalore,2025-08-16,23.0,Economy,Personal,Website,Debit Card,174,555,Delayed,118.0,0,Yes,1.0,27772.07,Dissatisfied
PNR00043,Indigo,Mumbai,Delhi,2024-10-08,28.0,Business,Personal,Travel Agent,Debit Card,122,1540,On Time,0.0,2,Yes,4.0,52054.71,Satisfied
PNR00044,Spicejet,Bangalore,Delhi,2025-03-12,20.0,Premium Economy,Personal,Mobile App,Credit Card,82,1296,On Time,0.0,1,Yes,5.0,26640.81,Satisfied
PNR00045,Akasa Air,Mumbai,Delhi,2024-02-03,57.0,Economy,Personal,Mobile App,Debit Card,151,394,Delayed,59.0,3,No,4.0,20730.48,Satisfied
PNR00046,Akasa Air,Delhi,Kolkata,2025-09-15,34.0,Premium Economy,Personal,Travel Agent,UPI,106,1218,Delayed,47.0,1,No,3.0,6549.08,Neutral
PNR00047,Indigo,Bangalore,Mumbai,2025-04-25,55.0,Economy,Business,Travel Agent,Credit Card,138,1319,On Time,0.0,3,No,1.0,10892.94,Dissatisfied
PNR00048,Spicejet,Delhi,Mumbai,2024-02-22,23.0,Economy,Business,Website,UPI,185,342,On Time,0.0,2,Yes,4.0,8411.1,Satisfied
PNR00049,Air India,Mumbai,Bangalore,2024-07-13,49.0,Business,Personal,Website,Credit Card,214,392,On Time,0.0,3,Yes,5.0,36599.85,Satisfied
PNR00050,Spicejet,Delhi,Kolkata,2024-12-11,29.0,Economy,Business,Website,Debit Card,105,845,Delayed,130.0,1,Yes,3.0,32428.35,Neutral
PNR00051,Spicejet,Mumbai,Delhi,2024-09-13,43.0,Economy,Personal,Mobile App,Net Banking,67,924,On Time,0.0,1,No,2.0,26792.81,Dissatisfied
PNR00052,Akasa Air,Hyderabad,Mumbai,2024-01-03,24.0,Economy,Business,Website,Debit Card,170,1218,On Time,0.0,2,Yes,1.0,26465.67,Dissatisfied
PNR00053,Air India Express,Kolkata,Delhi,2024-09-29,56.0,Economy,Business,Website,Credit Card,145,1797,On Time,0.0,2,No,2.0,5324.91,Dissatisfied
PNR00054,Akasa Air,Delhi,Mumbai,2025-01-03,64.0,Economy,Personal,Mobile App,UPI,142,724,On Time,0.0,0,Yes,1.0,10209.87,Dissatisfied
PNR00055,Akasa Air,Delhi,Bangalore,2025-08-04,23.0,Business,Business,Travel Agent,Net Banking,171,815,Delayed,140.0,2,Yes,5.0,61969.15,Satisfied
PNR00056,Akasa Air,Delhi,Mumbai,2024-03-15,37.0,Business,Business,Travel Agent,Debit Card,63,945,Delayed,88.0,2,No,3.0,53557.08,Neutral
PNR00057,Spicejet,Bangalore,Delhi,2024-04-27,43.0,Economy,Business,Website,Debit Card,127,1023,Delayed,47.0,0,No,4.0,12920.87,Satisfied
PNR00058,Vistara,Mumbai,Delhi,2025-11-20,23.0,Economy,Personal,Website,Debit Card,69,560,On Time,0.0,2,No,1.0,6292.62,Dissatisfied
PNR00059,Akasa Air,Mumbai,Hyderabad,2025-08-28,52.0,Premium Economy,Business,Airport Counter,UPI,154,617,Delayed,85.0,2,Yes,4.0,35831.32,Satisfied
PNR00060,Vistara,Delhi,Kolkata,2024-09-26,54.0,Premium Economy,Business,Website,Debit Card,119,1097,On Time,0.0,3,Yes,2.0,18305.36,Dissatisfied
PNR00061,Akasa Air,Mumbai,Bangalore,2024-01-23,55.0,Economy,Business,Mobile App,Debit Card,122,442,On Time,0.0,3,Yes,3.0,16524.66,Neutral
PNR00062,Vistara,Mumbai,Hyderabad,2025-07-07,25.0,Economy,Personal,Travel Agent,Debit Card,74,1612,Delayed,164.0,2,Yes,4.0,21021.41,Satisfied
PNR00063,Indigo,Delhi,Bangalore,2024-04-27,27.0,Economy,Business,Mobile App,UPI,97,1482,Delayed,14.0,0,Yes,4.0,27586.16,Satisfied
PNR00064,Vistara,Mumbai,Bangalore,2024-10-18,53.0,Economy,Business,Airport Counter,Debit Card,85,1606,On Time,0.0,2,No,3.0,7483.92,Neutral
PNR00065,Spicejet,Hyderabad,Mumbai,2025-09-14,35.0,Economy,Business,Airport Counter,Credit Card,163,1127,Delayed,81.0,2,Yes,4.0,14669.15,Satisfied
PNR00066,Air India,Bangalore,Delhi,2025-04-06,46.0,Business,Business,Website,Credit Card,99,1620,On Time,0.0,3,Yes,1.0,23930.57,Dissatisfied
PNR00067,Akasa Air,Mumbai,Hyderabad,2025-10-22,57.0,Premium Economy,Business,Travel Agent,Debit Card,234,1268,On Time,0.0,2,Yes,2.0,38874.37,Dissatisfied
PNR00068,Indigo,Mumbai,Hyderabad,2025-04-19,35.0,Economy,Business,Mobile App,UPI,221,646,On Time,0.0,0,No,5.0,32232.49,Satisfied
PNR00069,Air India,Bangalore,Delhi,2024-06-04,43.0,Economy,Personal,Mobile App,Net Banking,173,1792,On Time,0.0,3,No,1.0,12236.87,Dissatisfied
PNR00070,Spicejet,Mumbai,Hyderabad,2024-11-13,36.0,Economy,Business,Mobile App,Net Banking,91,969,On Time,0.0,0,No,2.0,19542.68,Dissatisfied
PNR00071,Air India Express,Mumbai,Delhi,2025-11-08,47.0,Economy,Business,Website,UPI,238,1130,On Time,0.0,1,No,2.0,15783.86,Dissatisfied
PNR00072,Air India Express,Delhi,Mumbai,2024-12-14,24.0,Economy,Business,Website,UPI,67,1132,On Time,0.0,1,Yes,5.0,19976.42,Satisfied
PNR00073,Air India,Hyderabad,Mumbai,2024-04-05,51.0,Economy,Personal,Airport Counter,Net Banking,147,1401,On Time,0.0,0,Yes,2.0,2922.56,Dissatisfied
PNR00074,Air India,Mumbai,Hyderabad,2024-05-26,38.0,Business,Personal,Travel Agent,Credit Card,171,1704,Delayed,157.0,2,Yes,2.0,25738.96,Dissatisfied
PNR00075,Air India Express,Bangalore,Mumbai,2024-09-12,22.0,Business,Business,Airport Counter,Net Banking,196,1549,On Time,0.0,1,No,3.0,56831.31,Neutral
PNR00076,Air India,Delhi,Mumbai,2025-06-09,34.0,Premium Economy,Business,Website,Debit Card,68,851,Delayed,13.0,1,No,5.0,29957.65,Satisfied
PNR00077,Spicejet,Bangalore,Delhi,2024-05-07,35.0,Economy,Business,Mobile App,Credit Card,144,341,On Time,0.0,3,Yes,2.0,7050.6,Dissatisfied
PNR00078,Vistara,Delhi,Kolkata,2025-10-07,48.0,Economy,Personal,Website,Credit Card,227,909,Delayed,131.0,1,Yes,4.0,33655.38,Satisfied
PNR00079,Air India,Mumbai,Bangalore,2025-01-05,53.0,Economy,Business,Mobile App,Credit Card,85,328,Delayed,63.0,1,Yes,5.0,18222.04,Satisfied
PNR00080,Indigo,Bangalore,Mumbai,2024-05-27,64.0,Business,Business,Mobile App,Debit Card,140,1257,On Time,0.0,0,Yes,1.0,33486.24,Dissatisfied
PNR00081,Vistara,Hyderabad,Mumbai,2024-01-25,59.0,Economy,Business,Airport Counter,Debit Card,98,430,On Time,0.0,2,Yes,3.0,32312.69,Neutral
PNR00082,Spicejet,Mumbai,Delhi,2025-07-22,27.0,Economy,Personal,Travel Agent,Credit Card,114,311,Delayed,127.0,3,No,1.0,31859.32,Dissatisfied
PNR00083,Air India Express,Kolkata,Delhi,2025-06-21,58.0,Premium Economy,Personal,Website,Credit Card,106,1611,On Time,0.0,2,Yes,5.0,31509.92,Satisfied
PNR00084,Vistara,Hyderabad,Mumbai,2025-04-21,40.0,Business,Personal,Website,Debit Card,141,1546,On Time,0.0,1,No,3.0,37299.62,Neutral
PNR00085,Spicejet,Delhi,Mumbai,2024-06-19,20.0,Premium Economy,Business,Website,Credit Card,227,1285,On Time,0.0,1,Yes,2.0,23286.56,Dissatisfied
PNR00086,Spicejet,Kolkata,Delhi,2025-03-25,61.0,Business,Business,Airport Counter,Credit Card,114,1038,On Time,0.0,3,No,4.0,7582.0,Satisfied
PNR00087,Air India,Delhi,Bangalore,2025-11-27,61.0,Economy,Business,Website,UPI,75,1763,On Time,0.0,0,No,1.0,6090.41,Dissatisfied
PNR00088,Akasa Air,Hyderabad,Mumbai,2024-11-19,41.0,Economy,Business,Airport Counter,Credit Card,205,592,On Time,0.0,0,No,4.0,33583.51,Satisfied
PNR00089,Spicejet,Delhi,Bangalore,2025-01-14,60.0,Business,Personal,Airport Counter,Debit Card,98,1763,On Time,0.0,3,Yes,4.0,53512.81,Satisfied
PNR00090,Akasa Air,Delhi,Bangalore,2024-12-31,62.0,Economy,Business,Website,UPI,133,1430,Delayed,14.0,0,No,1.0,19343.46,Dissatisfied
PNR00091,Air India Express,Kolkata,Delhi,2025-02-22,59.0,Premium Economy,Business,Travel Agent,Debit Card,237,1149,On Time,0.0,0,No,1.0,37901.94,Dissatisfied
PNR00092,Spicejet,Delhi,Mumbai,2025-09-08,28.0,Economy,Personal,Airport Counter,Net Banking,126,934,On Time,0.0,2,No,5.0,26394.41,Satisfied
PNR00093,Indigo,Hyderabad,Mumbai,2024-02-07,32.0,Premium Economy,Business,Website,Net Banking,131,1574,On Time,0.0,3,Yes,1.0,5399.16,Dissatisfied
PNR00094,Spicejet,Mumbai,Bangalore,2025-07-21,20.0,Economy,Business,Airport Counter,UPI,99,339,Delayed,101.0,0,Yes,1.0,13355.29,Dissatisfied
PNR00095,Spicejet,Delhi,Kolkata,2024-12-21,59.0,Economy,Personal,Airport Counter,Credit Card,214,721,On Time,0.0,2,Yes,3.0,9930.32,Neutral
PNR00096,Indigo,Bangalore,Mumbai,2025-12-18,19.0,Economy,Business,Website,Credit Card,136,594,On Time,0.0,2,Yes,5.0,27844.98,Satisfied
PNR00097,Akasa Air,Mumbai,Bangalore,2025-03-30,47.0,Business,Business,Mobile App,Debit Card,133,1556,Delayed,31.0,3,Yes,4.0,8468.47,Satisfied
PNR00098,Vistara,Mumbai,Delhi,2025-02-04,29.0,Economy,Personal,Website,Debit Card,197,1185,Cancelled,,2,No,4.0,23546.14,Satisfied
PNR00099,Air India Express,Mumbai,Hyderabad,2024-02-02,46.0,Economy,Personal,Travel Agent,Debit Card,193,1178,On Time,0.0,1,No,1.0,5821.29,Dissatisfied
PNR00100,Air India,Mumbai,Hyderabad,2024-06-05,32.0,Premium Economy,Personal,Website,UPI,134,1183,On Time,0.0,0,No,4.0,31519.53,Satisfied
PNR00101,Spicejet,Bangalore,Mumbai,2025-10-20,23.0,Economy,Personal,Travel Agent,UPI,190,1580,On Time,0.0,0,No,2.0,30591.64,Dissatisfied
PNR00102,Vistara,Hyderabad,Mumbai,2025-10-18,63.0,Economy,Business,Mobile App,UPI,152,1632,On Time,0.0,3,Yes,4.0,33944.12,Satisfied
PNR00103,Air India Express,Delhi,Kolkata,2024-07-24,47.0,Economy,Personal,Website,Net Banking,76,1559,On Time,0.0,1,Yes,2.0,28420.67,Dissatisfied
PNR00104,Vistara,Mumbai,Delhi,2024-09-30,25.0,Economy,Personal,Website,Credit Card,123,637,Delayed,111.0,0,Yes,3.0,5910.23,Neutral
PNR00105,Air India,Delhi,Kolkata,2025-11-02,63.0,Economy,Personal,Mobile App,Net Banking,139,1633,Delayed,106.0,1,No,1.0,13895.38,Dissatisfied
PNR00106,Air India,Bangalore,Mumbai,2024-04-12,43.0,Economy,Personal,Travel Agent,Debit Card,225,1170,On Time,0.0,0,No,5.0,25460.46,Satisfied
PNR00107,Akasa Air,Delhi,Kolkata,2024-03-13,23.0,Economy,Personal,Airport Counter,Debit Card,162,522,On Time,0.0,3,Yes,3.0,18242.95,Neutral
PNR00108,Vistara,Bangalore,Mumbai,2025-01-24,33.0,Economy,Personal,Mobile App,Debit Card,117,321,On Time,0.0,1,Yes,4.0,7685.2,Satisfied
PNR00109,Spicejet,Mumbai,Bangalore,2025-07-20,36.0,Economy,Personal,Travel Agent,UPI,159,984,On Time,0.0,1,No,5.0,34880.85,Satisfied
PNR00110,Air India,Mumbai,Bangalore,2025-12-14,45.0,Economy,Business,Website,Net Banking,94,744,On Time,0.0,0,No,5.0,30002.97,Satisfied
PNR00111,Spicejet,Bangalore,Mumbai,2024-12-29,45.0,Economy,Business,Mobile App,Credit Card,185,831,On Time,0.0,0,Yes,4.0,30886.26,Satisfied
PNR00112,Indigo,Bangalore,Mumbai,2024-10-21,23.0,Economy,Personal,Website,Credit Card,229,1054,On Time,0.0,0,No,3.0,27720.01,Neutral
PNR00113,Air India Express,Mumbai,Hyderabad,2025-06-09,59.0,Economy,Personal,Mobile App,Debit Card,137,301,On Time,0.0,0,Yes,1.0,24035.19,Dissatisfied
PNR00114,Akasa Air,Mumbai,Delhi,2024-01-28,42.0,Premium Economy,Business,Travel Agent,Net Banking,125,1486,On Time,0.0,2,No,3.0,37464.68,Neutral
PNR00115,Akasa Air,Kolkata,Delhi,2024-12-26,46.0,Economy,Personal,Travel Agent,Net Banking,60,432,On Time,0.0,3,Yes,5.0,14093.79,Satisfied
PNR00116,Air India Express,Delhi,Bangalore,2024-06-04,61.0,Economy,Business,Airport Counter,Credit Card,170,919,On Time,0.0,3,Yes,1.0,6468.57,Dissatisfied
PNR00117,Akasa Air,Delhi,Bangalore,2024-06-09,22.0,Premium Economy,Business,Mobile App,UPI,238,1529,On Time,0.0,1,Yes,5.0,36848.81,Satisfied
PNR00118,Vistara,Delhi,Mumbai,2025-03-03,40.0,Economy,Business,Travel Agent,Debit Card,97,450,Delayed,17.0,1,Yes,5.0,16921.88,Satisfied
PNR00119,Spicejet,Bangalore,Delhi,2024-07-11,64.0,Business,Personal,Mobile App,Credit Card,114,1442,Delayed,56.0,3,No,3.0,58960.5,Neutral
PNR00120,Akasa Air,Bangalore,Mumbai,2024-01-01,50.0,Premium Economy,Business,Travel Agent,Debit Card,206,1610,On Time,0.0,1,No,1.0,36791.11,Dissatisfied
PNR00121,Air India,Delhi,Kolkata,2024-06-07,30.0,Premium Economy,Personal,Mobile App,Debit Card,127,1704,Delayed,32.0,2,No,1.0,7688.15,Dissatisfied
PNR00122,Akasa Air,Mumbai,Hyderabad,2025-12-25,42.0,Economy,Business,Travel Agent,Net Banking,202,1388,On Time,0.0,0,Yes,1.0,16943.63,Dissatisfied
PNR00123,Akasa Air,Kolkata,Delhi,2025-09-13,28.0,Economy,Business,Airport Counter,Net Banking,133,1261,Delayed,165.0,0,No,1.0,14856.36,Dissatisfied
PNR00124,Indigo,Delhi,Bangalore,2024-10-26,32.0,Premium Economy,Personal,Travel Agent,UPI,74,342,On Time,0.0,0,Yes,5.0,38023.19,Satisfied
PNR00125,Air India,Bangalore,Mumbai,2024-02-20,28.0,Business,Business,Website,Credit Card,74,623,On Time,0.0,0,Yes,3.0,58881.94,Neutral
PNR00126,Air India Express,Mumbai,Bangalore,2024-05-23,25.0,Premium Economy,Business,Airport Counter,Debit Card,165,1743,On Time,0.0,2,Yes,4.0,10076.1,Satisfied
PNR00127,Spicejet,Mumbai,Hyderabad,2025-03-20,59.0,Business,Business,Travel Agent,Credit Card,101,1251,On Time,0.0,0,No,3.0,4651.16,Neutral
PNR00128,Akasa Air,Bangalore,Delhi,2025-12-26,38.0,Economy,Personal,Mobile App,Credit Card,196,1349,Delayed,161.0,3,No,3.0,27867.08,Neutral
PNR00129,Indigo,Hyderabad,Mumbai,2025-09-03,36.0,Premium Economy,Business,Mobile App,Credit Card,119,1490,On Time,0.0,0,Yes,3.0,36901.13,Neutral
PNR00130,Air India,Mumbai,Hyderabad,2025-10-23,38.0,Economy,Personal,Mobile App,Debit Card,235,1104,On Time,0.0,0,No,1.0,34603.03,Dissatisfied
PNR00131,Vistara,Mumbai,Hyderabad,2025-10-19,38.0,Economy,Personal,Website,Net Banking,126,1697,On Time,0.0,2,No,2.0,31929.56,Dissatisfied
PNR00132,Spicejet,Bangalore,Mumbai,2024-12-18,57.0,Economy,Business,Mobile App,Net Banking,223,372,On Time,0.0,3,Yes,5.0,4772.78,Satisfied
PNR00133,Spicejet,Hyderabad,Mumbai,2025-12-12,55.0,Economy,Business,Website,Debit Card,109,366,On Time,0.0,3,No,1.0,34853.12,Dissatisfied
PNR00134,Akasa Air,Bangalore,Mumbai,2025-10-23,25.0,Business,Business,Travel Agent,Credit Card,103,1765,On Time,0.0,1,Yes,1.0,52575.68,Dissatisfied
PNR00135,Air India Express,Mumbai,Delhi,2025-10-09,33.0,Economy,Personal,Website,Net Banking,62,536,Delayed,117.0,0,No,5.0,5520.2,Satisfied
PNR00136,Akasa Air,Delhi,Mumbai,2024-06-09,25.0,Premium Economy,Personal,Website,Credit Card,75,759,On Time,0.0,0,Yes,5.0,16506.55,Satisfied
PNR00137,Air India,Delhi,Kolkata,2024-06-28,18.0,Business,Business,Travel Agent,UPI,210,1519,Cancelled,,0,Yes,4.0,58939.82,Satisfied
PNR00138,Indigo,Bangalore,Delhi,2025-03-04,35.0,Business,Personal,Travel Agent,Net Banking,94,1481,On Time,0.0,1,Yes,5.0,5839.29,Satisfied
PNR00139,Vistara,Delhi,Mumbai,2025-04-10,52.0,Premium Economy,Business,Airport Counter,Net Banking,79,565,On Time,0.0,0,No,5.0,15383.73,Satisfied
PNR00140,Vistara,Delhi,Kolkata,2024-01-25,23.0,Economy,Business,Mobile App,UPI,200,1440,Cancelled,,3,No,4.0,12634.02,Satisfied
PNR00141,Akasa Air,Bangalore,Mumbai,2025-03-22,35.0,Economy,Personal,Travel Agent,UPI,193,971,On Time,0.0,0,No,2.0,9382.05,Dissatisfied
PNR00142,Akasa Air,Delhi,Mumbai,2024-02-25,48.0,Economy,Personal,Website,UPI,142,1422,On Time,0.0,3,No,4.0,34892.65,Satisfied
PNR00143,Air India,Delhi,Bangalore,2025-01-14,56.0,Economy,Business,Mobile App,UPI,111,1544,Delayed,71.0,3,Yes,3.0,15959.22,Neutral
PNR00144,Akasa Air,Mumbai,Hyderabad,2025-08-20,54.0,Economy,Business,Mobile App,Debit Card,192,809,On Time,0.0,1,No,5.0,9494.06,Satisfied
PNR00145,Vistara,Kolkata,Delhi,2024-07-31,62.0,Economy,Business,Website,UPI,141,472,On Time,0.0,3,Yes,5.0,18367.84,Satisfied
PNR00146,Air India Express,Delhi,Mumbai,2025-08-16,65.0,Economy,Personal,Website,Net Banking,239,1745,Delayed,146.0,0,No,4.0,4983.55,Satisfied
PNR00147,Air India,Kolkata,Delhi,2024-10-10,57.0,Business,Personal,Mobile App,Net Banking,93,1075,On Time,0.0,0,Yes,4.0,34464.98,Satisfied
PNR00148,Spicejet,Hyderabad,Mumbai,2024-07-18,30.0,Premium Economy,Personal,Website,Credit Card,146,342,Cancelled,,0,Yes,4.0,16638.43,Satisfied
PNR00149,Vistara,Mumbai,Hyderabad,2025-07-16,45.0,Premium Economy,Personal,Website,Debit Card,64,1072,On Time,0.0,3,No,1.0,41063.64,Dissatisfied
PNR00150,Indigo,Mumbai,Bangalore,2025-01-16,53.0,Business,Business,Airport Counter,Debit Card,127,468,Delayed,149.0,2,No,5.0,38571.73,Satisfied
PNR00153,Akasa Air,Hyderabad,Mumbai,2025-10-08,63.0,Economy,Business,Travel Agent,Credit Card,210,535,Delayed,38.0,0,Yes,5.0,24772.19,Satisfied
PNR00154,Air India Express,Delhi,Mumbai,2025-04-07,48.0,Economy,Business,Travel Agent,Credit Card,210,387,On Time,0.0,2,Yes,5.0,5547.1,Satisfied
PNR00155,Air India Express,Delhi,Kolkata,2024-04-20,54.0,Economy,Personal,Travel Agent,UPI,195,661,Cancelled,,3,Yes,2.0,23870.71,Dissatisfied
PNR00156,Air India,Kolkata,Delhi,2024-10-28,38.0,Economy,Personal,Mobile App,Debit Card,214,1389,Delayed,67.0,1,No,1.0,33637.39,Dissatisfied
PNR00157,Air India,Bangalore,Mumbai,2024-03-10,28.0,Business,Business,Mobile App,Net Banking,115,1534,Delayed,163.0,0,No,5.0,6200.68,Satisfied
PNR00158,Akasa Air,Bangalore,Mumbai,2024-01-20,62.0,Business,Business,Travel Agent,Credit Card,76,1442,On Time,0.0,2,No,2.0,39563.08,Dissatisfied
PNR00159,Vistara,Mumbai,Bangalore,2024-07-29,63.0,Economy,Personal,Travel Agent,UPI,209,963,Delayed,28.0,3,Yes,1.0,16605.63,Dissatisfied
PNR00160,Indigo,Bangalore,Mumbai,2024-10-29,45.0,Economy,Business,Mobile App,Net Banking,116,1319,Delayed,152.0,1,No,4.0,14974.57,Satisfied
PNR00161,Air India,Kolkata,Delhi,2025-05-19,33.0,Economy,Business,Website,Debit Card,120,437,On Time,0.0,1,No,5.0,27933.91,Satisfied
